OBJECTID,Name,Layer,Average housing prices,Distance away from CBD,Financial institution density,Retail store density,School density,Park density,Technology companies,Commercial building density,Medical institution density,Road density
300,Sanjianfang Regional Office,neighborhood,45332.18,8.11,2.69,14.62,12.17,14,9,20.82,13.22,9.77
272,Sanlitun sub district,neighborhood,81110.31,3.2,31.86,28.07,8.2,9.5,13,46.68,36.59,15.72
323,Shahe Regional Office,neighborhood,43540.94,29.61,0.52,2.83,1.93,3.2,18,6.94,3.8,6.77
89,Shandong Zhuang Town,neighborhood,22171.24,67.09,0.12,0.97,0.16,0.2,2,0.28,0.41,1.02
153,Shangdi sub district,neighborhood,76139.93,19.75,10.19,12.38,4.99,10.4,118,27.78,9.15,14.65
169,Shangzhuang Regional Office,neighborhood,43110.55,32.41,0.36,3.1,0.73,4.2,5,1.25,1.95,5.87
28,Shichahai sub district,neighborhood,127659.86,7.64,5.66,28.61,7.82,21.6,2,31.44,19.3,16.04
12,Shenjiaying town,neighborhood,22802.71,74.45,0.1,2.17,0.13,0.7,0,0.23,0.39,1.85
55,Shengli sub district,neighborhood,40392.52,28.95,26.98,54.74,5.01,23.1,2,17.35,45.87,9.8
298,Shibalidian Regional Office,neighborhood,47485.85,7.73,3.38,7.69,2.13,5.2,16,10.18,9.54,7.39
213,Shidu town,neighborhood,19679.48,78.71,0.02,0.31,0.03,0.2,0,0.17,0.06,0.89
108,Shilibao town,neighborhood,29076.4,55.95,0.43,3.02,0.47,1.3,6,0.77,1.4,3.45
312,Ming Tombs town,neighborhood,31472.94,49.64,0.06,0.95,0.16,0.1,0,0.23,0.28,2.01
109,Shicheng Town,neighborhood,23673.5,81.41,0.01,0.23,0.01,0,0,0.06,0.03,0.77
205,Shilou town,neighborhood,18658.62,50.06,0.12,1.02,0.31,0.9,2,0.4,0.8,5.63
52,Shiyuan sub district,neighborhood,30015.49,27.97,16.07,40.65,3.78,9.5,2,9.77,23,11.26
228,Shijiaying Township,neighborhood,19360.49,66.33,0.03,0.19,0.03,0.1,0,0.01,0.03,1.86
291,Capital airport sub district,neighborhood,40475.97,21,3.4,4.73,0.95,0.9,0,4.82,3.12,8.65
154,Shuguang sub district,neighborhood,81011.37,16.35,16.5,16.86,5.5,22,38,18.51,28.96,14.52
51,Shuangfeng sub district,neighborhood,33985.22,33.7,1.46,4.02,0.87,1.2,4,2.52,3.15,4.5
271,Shuangjing sub district,neighborhood,76499.06,1.65,25.95,19.36,7.38,10,23,37.32,47.9,12
17,Sihai town,neighborhood,35001.24,70.02,0.01,0.29,0.02,0.1,0,0.06,0.07,0.41
168,Sijiqing Regional Office,neighborhood,67779.76,20.3,1.4,5,1.54,5.1,17,5.3,3.48,9.97
44,Songzhuang town,neighborhood,36407.4,21.56,0.4,2.34,0.8,2,16,1.79,1.16,4.19
172,Sujiatuo Regional Office,neighborhood,37972.47,35.03,0.21,1.53,0.56,1.5,12,0.78,0.63,6.7
296,Sunhe Regional Office,neighborhood,54035.53,16.46,0.4,1.91,0.34,3.1,2,2.19,0.65,5.35
48,Taihu town,neighborhood,32996.63,16.32,0.57,2.24,0.7,2.2,12,2.52,1.19,4.71
192,Taipingqiao sub district,neighborhood,70541.5,12.76,24.86,32.81,6.96,17.4,26,29.33,15.91,13.09
115,Taishitun town,neighborhood,18657.08,91.5,0.05,0.47,0.04,0.1,0,0.05,0.19,0.76
293,Taiyanggong District Office,neighborhood,76752.61,7.45,13.27,17.46,3.32,20.9,11,18.5,16.76,14.72
122,Tanzhesi town,neighborhood,27093.2,38.92,0.07,0.49,0.06,0.2,1,0.2,0.1,2.83
118,Tanying Regional Office,neighborhood,20996.87,64.2,0.69,8.64,1.38,6.9,0,4.49,4.49,9.01
151,Tanghekou town,neighborhood,27839.27,97.6,0.02,0.28,0.02,0.3,0,0.04,0.04,0.7
32,Taoranting sub district,neighborhood,83549.12,8.25,20.7,31.51,11.76,14.1,1,26.81,32.92,14.7
243,Gymnasium road sub district,neighborhood,75483.46,4.78,6.66,51.22,9.22,25.6,2,44.57,23.56,19.35
263,Tiangongyuan sub district,neighborhood,32542.62,28.37,0.34,2.87,0.27,0.7,4,1.71,0.75,5.89
23,Tianqiao sub district,neighborhood,97344.35,7.26,21.94,32.44,9.06,14.3,0,31.01,37.68,17.46
231,Tiantan sub district,neighborhood,88422.86,5.98,3.96,29.44,6.19,12.4,3,12.62,15.83,11.16
329,Tiantongyuan North sub district,neighborhood,40948.51,18.87,7.89,13.71,6.23,10.4,7,6.85,19.31,8.67
321,Tiantongyuan South sub district,neighborhood,54439.5,17.05,9.75,16.37,5.7,9.2,6,11.96,28.32,8.5
59,Tianzhu Regional Office,neighborhood,40218.8,19.72,1.5,2.49,0.17,1.2,1,1.83,1.16,6.67
157,Tiancun road sub district,neighborhood,59785.65,18.71,4.88,18.21,3.83,11.9,7,17.68,15.97,11.37
294,Tuanjie Lake sub district,neighborhood,87143.47,1.94,17.84,66.49,14.6,8.1,6,44.6,37.3,18.42
184,Wanpingcheng Regional Office,neighborhood,37823.39,21.07,0.67,3.79,0.57,7.8,6,2.33,1.71,9.37
